block_num,block_size,miner,timestamp,num_txes
16012227,9990579,0x34cb778eA0B3e386a16616EC643f06E900BdEa26,1668959387,99
16012228,17798483,0x690B9A9E9aa1C9dB991C7721a92d351Db4FaC990,1668959399,190
16012229,21343854,0x57af10eD3469b2351AE60175d3C9B3740E1Bb649,1668959411,154
16012230,10243373,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,1668959423,99
16012231,23263175,0x57af10eD3469b2351AE60175d3C9B3740E1Bb649,1668959435,181
16012232,14176617,0x064eb879D95eb6785dE34E2758949609B1D870cb,1668959447,128
16012233,17841980,0x690B9A9E9aa1C9dB991C7721a92d351Db4FaC990,1668959459,134
16012234,11916947,0xF2f5C73fa04406b1995e397B55c24aB1f3eA726C,1668959471,117
16012235,16975205,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,1668959483,178
16012236,14930078,0x690B9A9E9aa1C9dB991C7721a92d351Db4FaC990,1668959495,94
16012237,12669466,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,1668959507,123
16012238,14103260,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,1668959519,161
16012239,14068955,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,1668959531,143
16012240,12795007,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,1668959543,127
16012241,10335543,0xF2f5C73fa04406b1995e397B55c24aB1f3eA726C,1668959555,111
16012242,5808629,0x30b25abC7817622FA84536055b57E9bd0aD2Be36,1668959567,61
16012243,15733698,0x0000000000000000000000000000000000000000,1668959579,164
16012244,21759549,0x690B9A9E9aa1C9dB991C7721a92d351Db4FaC990,1668959591,240
16012245,1795480,0x9f4B4CeCa7aCE96834Bd2fcC961c772De7cb481a,1668959603,31
16012246,16455019,0xAbD6c51De173f356D8B845b9b72d904dff00d746,1668959615,166
16012247,29690050,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,1668959627,277
16012248,9194520,0x690B9A9E9aa1C9dB991C7721a92d351Db4FaC990,1668959639,123
16012249,15802527,0x690B9A9E9aa1C9dB991C7721a92d351Db4FaC990,1668959651,146
16012250,16623157,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,1668959663,149
16012251,11093246,0x690B9A9E9aa1C9dB991C7721a92d351Db4FaC990,1668959675,130
16012252,16099417,0x690B9A9E9aa1C9dB991C7721a92d351Db4FaC990,1668959687,167
16012253,14794151,0x690B9A9E9aa1C9dB991C7721a92d351Db4FaC990,1668959699,141
16012254,15325674,0xF2f5C73fa04406b1995e397B55c24aB1f3eA726C,1668959711,157
16012255,11500308,0x690B9A9E9aa1C9dB991C7721a92d351Db4FaC990,1668959723,134
16012256,23677411,0x690B9A9E9aa1C9dB991C7721a92d351Db4FaC990,1668959735,177
16012257,14241429,0x199D5ED7F45F4eE35960cF22EAde2076e95B253F,1668959747,141
16012258,10287516,0x690B9A9E9aa1C9dB991C7721a92d351Db4FaC990,1668959759,126
16012259,12877807,0xF2f5C73fa04406b1995e397B55c24aB1f3eA726C,1668959771,149
16012260,10666336,0x690B9A9E9aa1C9dB991C7721a92d351Db4FaC990,1668959783,131
16012261,9447450,0x6d2e03b7EfFEae98BD302A9F836D0d6Ab0002766,1668959795,74
16012262,26220245,0x690B9A9E9aa1C9dB991C7721a92d351Db4FaC990,1668959807,224
16012263,26029633,0xF2f5C73fa04406b1995e397B55c24aB1f3eA726C,1668959831,265
16012264,13219887,0x473780deAF4a2Ac070BBbA936B0cdefe7F267dFc,1668959843,131
16012265,21152745,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,1668959855,154
16012266,12994462,0x690B9A9E9aa1C9dB991C7721a92d351Db4FaC990,1668959867,136
16012267,16097843,0x388C818CA8B9251b393131C08a736A67ccB19297,1668959879,147
16012268,16054590,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,1668959891,128
16012269,10856771,0x690B9A9E9aa1C9dB991C7721a92d351Db4FaC990,1668959903,95
16012270,20115394,0xE455036E2F3a26Df7014b7DbF6cedBBf81433478,1668959915,147
16012271,14264348,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,1668959927,131
16012272,12322760,0x690B9A9E9aa1C9dB991C7721a92d351Db4FaC990,1668959939,139
16012273,10551055,0xF2f5C73fa04406b1995e397B55c24aB1f3eA726C,1668959951,118
16012274,29910716,0x690B9A9E9aa1C9dB991C7721a92d351Db4FaC990,1668959963,120
16012275,12193170,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,1668959975,139
16012276,11460787,0xAD50bed2786fb672EF7F41e8E97889318E054CBC,1668959987,103
